id,name_base,Gestionnaire,role,x,y
ALBE_F001,Bouville,ALBEA,F,549556.06,6940751.69
ALBE_O001,Bouville,ALBEA,O,549556.06,6940751.69
ALIC_F001,Necy Est,ALICORNE,F,469884.26,6862708.86
ALIC_O001,Necy Est,ALICORNE,O,469884.26,6862708.86
ALIC_F002,Necy Ouest,ALICORNE,F,469876.08,6862704.09
ALIC_O002,Necy Ouest,ALICORNE,O,469876.08,6862704.09
ALIC_F003,Ronai BPV,ALICORNE,F,470290.2,6861899.6
ALIC_O003,Ronai BPV,ALICORNE,O,470290.2,6861899.6
ALIC_F004,Sees Est,ALICORNE,F,492192.34,6841481.62
ALIC_O004,Sees Est,ALICORNE,O,492192.34,6841481.62
ALIC_F005,Sees Ouest,ALICORNE,F,492186.54,6841473.45
ALIC_O005,Sees Ouest,ALICORNE,O,492186.54,6841473.45
ALIE_F001,Gare de peage Aire sur l'Adour Nord,ALIENOR,F,436188.83,6296598.34
ALIE_O001,Gare de peage Aire sur l'Adour Nord,ALIENOR,O,436188.83,6296598.34
ALIE_F002,Gare de peage Aire sur l'Adour Sud,ALIENOR,F,435050.85,6290974.83
ALIE_O002,Gare de peage Aire sur l'Adour Sud,ALIENOR,O,435050.85,6290974.83
ALIE_F003,Gare de peage Bazas,ALIENOR,F,441686.13,6377205.78
ALIE_O003,Gare de peage Bazas,ALIENOR,O,441686.13,6377205.78
ALIE_F004,Gare de peage Captieux,ALIENOR,F,442146.81,6359167.75
ALIE_O004,Gare de peage Captieux,ALIENOR,O,442146.81,6359167.75
ALIE_F005,Gare de peage Garlin,ALIENOR,F,433649.41,6279394.85
ALIE_O005,Gare de peage Garlin,ALIENOR,O,433649.41,6279394.85
ALIE_F006,Gare de peage Le Caloy,ALIENOR,F,427939.72,6322741.23
ALIE_O006,Gare de peage Le Caloy,ALIENOR,O,427939.72,6322741.23
ALIE_F007,Gare de peage Roquefort,ALIENOR,F,432672.36,6333139.12
ALIE_O007,Gare de peage Roquefort,ALIENOR,O,432672.36,6333139.12
ALIE_F008,Gare de peage Theze,ALIENOR,F,431478.41,6268804.78
ALIE_O008,Gare de peage Theze,ALIENOR,O,431478.41,6268804.78
ALIS_F001,Bernay,ALIS,F,523281.48,6895816.77
ALIS_O001,Bernay,ALIS,O,523281.48,6895816.77
ALIS_F002,Brionne,ALIS,F,537784.46,6907004.4
ALIS_O002,Brionne,ALIS,O,537784.46,6907004.4
ALIS_F003,Gace 1,ALIS,F,502353.98,6855699.51
ALIS_O003,Gace 1,ALIS,O,502353.98,6855699.51
ALIS_F004,Gace 2,ALIS,F,501877.98,6856374.34
ALIS_O004,Gace 2,ALIS,O,501877.98,6856374.34
ALIS_F005,Orbec 1,ALIS,F,513188.32,6884348.13
ALIS_O005,Orbec 1,ALIS,O,513188.32,6884348.13
ALIS_F006,Orbec 2,ALIS,F,512947.81,6884933.38
ALIS_O006,Orbec 2,ALIS,O,512947.81,6884933.38
ALIS_F007,Roumois,ALIS,F,542688.95,6919025.76
ALIS_O007,Roumois,ALIS,O,542688.95,6919025.76
ALIS_F008,Sees Argentan 1,ALIS,F,493043.0,6840644.66
ALIS_O008,Sees Argentan 1,ALIS,O,493043.0,6840644.66
APRR_F001,Amberieu,APRR,F,879018.1,6544621.42
APRR_O001,Amberieu,APRR,O,879018.1,6544621.42
APRR_F002,Arlay,APRR,F,892135.14,6633925.18
APRR_O002,Arlay,APRR,O,892135.14,6633925.18
APRR_F003,Auxerre Nord,APRR,F,741028.91,6750278.79
APRR_O003,Auxerre Nord,APRR,O,741028.91,6750278.79
APRR_F004,Auxerre Sud,APRR,F,748875.19,6744244.23
APRR_O004,Auxerre Sud,APRR,O,748875.19,6744244.23
APRR_F005,Avallon,APRR,F,774662.33,6712575.5
APRR_O005,Avallon,APRR,O,774662.33,6712575.5
