dateReferentiel;route;pr;depPr;concessionPr;abs;cumul;x;y;z;cote;nomGare;typeGare;typeGare_lib;nbVoies
01/01/2024;01A903905CD;1;1;C;570;570;874230,62;6595951,2;0;D;Beaupont;Ech;Echangeur;2
01/01/2024;01A903905CD;2;1;C;220;1008;874242,19;6595945,53;0;D;Beaupont;Ech;Echangeur;2
01/01/2024;01A904005CD;1;1;C;720;720;915807,71;6561210,95;0;D;Bellegarde Sortie;Ech;Echangeur;2
01/01/2024;01A904005CD;2;1;C;230;1186;915817,74;6561202,99;0;D;Bellegarde Entrée;Ech;Echangeur;2
01/01/2024;01A904010CD;1;1;C;650;650;904340,11;6565511,52;0;D;Sylans;Ech;Echangeur;3
01/01/2024;01A904010CD;2;1;C;340;1331;904334,18;6565521,3;0;D;Sylans;Ech;Echangeur;2
01/01/2024;01A904015CD;2;1;C;570;1125;896188,35;6562334,06;0;D;St Martin-Du-Fresne;Ech;Echangeur;2
01/01/2024;01A904015CD;4;1;C;350;2723;896198,3;6562361,28;0;D;St Martin-Du-Fresne;Ech;Echangeur;2
01/01/2024;01A904025CD;1;1;C;970;970;876445,68;6563209,68;0;D;Bourg Sud;Ech;Echangeur;3
01/01/2024;01A904025CD;2;1;C;250;1470;876455,86;6563201,42;0;D;Bourg Sud;Ech;Echangeur;2
01/01/2024;01A904030CD;1;1;C;960;960;875175,56;6573182,78;0;D;Viriat;Ech;Echangeur;3
01/01/2024;01A904030CD;2;1;C;470;1897;875163,2;6573172,68;0;D;Viriat;Ech;Echangeur;2
01/01/2024;01A904035CD;1;1;C;910;910;866894,65;6575626,22;0;D;Bourg Nord;Ech;Echangeur;2
01/01/2024;01A904035CD;2;1;C;150;1224;866901,82;6575637,66;0;D;Bourg Nord;Ech;Echangeur;2
01/01/2024;01A904040CD;1;1;C;220;220;855240,5;6576711,51;0;D;Saint Genis;Ech;Echangeur;2
01/01/2024;01A904040CD;2;1;C;780;1788;855221,05;6576656,76;0;D;Saint Genis;Ech;Echangeur;2
01/01/2024;01A904050CD;1;1;C;610;610;845920,88;6579732,01;0;D;Replonges;Ech;Echangeur;3
01/01/2024;01A904050CD;2;1;C;120;952;845909,83;6579626,9;0;D;Replonges;Ech;Echangeur;2
01/01/2024;01A904055CD;1;1;C;360;360;844793,77;6582710,75;0;D;Feillens;Ech;Echangeur;4
01/01/2024;01A904055CD;2;1;C;160;680;844809,36;6582721,43;0;D;Feillens;Ech;Echangeur;2
01/01/2024;01A904220CD;1;1;C;860;860;857698,56;6527295,28;0;D;La Boisse;Bpv;Pleine voie;2
01/01/2024;01A904220CD;2;1;C;940;2018;857741,62;6528092,85;0;D;La Cotiere;Bpv;Pleine voie;2
01/01/2024;01A904220CD;3;1;C;1430;3722;857751,72;6528081,29;0;D;La Boisse;Bpv;Pleine voie;3
01/01/2024;01A904220CD;4;1;C;1790;5546;857745,54;6527329,42;0;D;La Boisse;Bpv;Pleine voie;7
01/01/2024;01A904220CD;5;1;C;200;5786;857524,84;6528126,12;0;D;La Cotiere;Bpv;Pleine voie;2
01/01/2024;01A904220CD;6;1;C;290;6556;857800,66;6527389,69;0;D;La Boisse;Bpv;Pleine voie;2
01/01/2024;01A904225CD;1;1;C;670;670;858869,21;6528843,12;0;D;La Boisse - Montluel;Ech;Echangeur;4
01/01/2024;01A904225CD;2;1;C;120;914;858862,86;6528858,54;0;D;La Boisse - Montluel;Ech;Echangeur;2
01/01/2024;01A904230CD;1;1;C;550;550;862904,55;6530088,66;0;D;Balan;Ech;Echangeur;3
01/01/2024;01A904230CD;2;1;C;180;913;862924,27;6530098,39;0;D;Balan;Ech;Echangeur;2
01/01/2024;01A904235CD;1;1;C;590;590;869215,21;6531345,8;0;D;Perouges;Ech;Echangeur;5
01/01/2024;01A904235CD;2;1;C;160;912;869227,96;6531363,07;0;D;Perouges;Ech;Echangeur;3
01/01/2024;01A904240CD;1;1;C;610;610;879018,1;6544621,42;0;D;Amberieu;Ech;Echangeur;4
01/01/2024;01A904240CD;2;1;C;190;996;879036,39;6544633,96;0;D;Amberieu;Ech;Echangeur;2
01/01/2024;01A904245CD;1;1;C;620;620;879983,44;6552469,92;0;D;Pont D'Ain;Ech;Echangeur;2
01/01/2024;01A904245CD;2;1;C;190;1004;879969,19;6552462,69;0;D;Pont D'Ain;Ech;Echangeur;2
01/01/2024;01A904605CD;1;1;C;120;120;847275,26;6533257,09;0;D;Mionnay;Ech;Echangeur;3
01/01/2024;01A904605CD;2;1;C;790;1673;847262,09;6533251,61;0;D;Mionnay;Ech;Echangeur;3
01/01/2024;01A940405CD;1;1;C;690;690;897366,9;6567408,09;0;D;La Croix-Chalon;Ech;Echangeur;3
01/01/2024;01A940405CD;2;1;C;130;955;897380,8;6567397,57;0;D;La Croix-Chalon;Ech;Echangeur;2
01/01/2024;01A940605CD;1;1;C;750;750;843972,98;6578012;0;D;Crottet;Ech;Echangeur;4
01/01/2024;01A940605CD;2;1;C;190;1127;843956,03;6578024,01;0;D;Crottet;Ech;Echangeur;4
01/01/2024;02A900405CD;1;2;C;740;740;729141,18;6886584,79;0;D;Chateau-Thierry Sortie;Ech;Echangeur;2
01/01/2024;02A900405CD;2;2;C;190;1121;729139,35;6886574,82;0;D;Chateau-Thierry Entree;Ech;Echangeur;4
01/01/2024;02A900410CD;1;2;C;440;440;752297,96;6895112,88;0;D;Dormans Sortie;Ech;Echangeur;3
01/01/2024;02A900410CD;2;2;C;850;2142;752307,97;6895111,44;0;D;Dormans Entree;Ech;Echangeur;2
01/01/2024;02A902605CD;1;2;C;910;910;717249,64;6973696,29;0;D;Saint Quentin La Vallee Sortie;Ech;Echangeur;3
01/01/2024;02A902605CD;2;2;C;90;1093;717248,33;6973707,22;0;D;Saint Quentin La Vallee Entree;Ech;Echangeur;2
01/01/2024;02A902615CD;1;2;C;980;980;721321,6;6968139,2;0;D;Gauchy Sortie;Ech;Echangeur;3
01/01/2024;02A902615CD;2;2;C;100;1180;721314,72;6968131,89;0;D;Gauchy Entree;Ech;Echangeur;2
01/01/2024;02A902620CD;1;2;C;570;570;733671,55;6954348,02;0;D;Courbes Sortie;Ech;Echangeur;2
01/01/2024;02A902620CD;2;2;C;290;1154;733608,35;6954337;0;D;Courbes Entree;Ech;Echangeur;1
