entree_id,sortie_id,distance_km,c1,c2,c3,c4,c5
APRR_O001,APRR_O002,101.49,10.5,16.4,25.9,34.9,6.4
APRR_O001,APRR_O003,301.99,27.9,43.7,67.9,92.4,17.0
APRR_O001,APRR_O004,290.29,27.9,43.7,67.9,92.4,17.0
APRR_O001,APRR_O005,246.19,22.6,35.9,55.7,75.4,13.4
APRR_O001,APRR_O006,24.03,1.9,3.1,4.4,6.3,0.9
APRR_O001,APRR_O007,231.69,21.8,33.9,53.4,74.3,12.8
APRR_O001,APRR_O008,154.54,14.1,22.8,34.8,47.7,8.6
APRR_O001,APRR_O009,148.79,13.3,22.0,33.7,46.2,8.1
APRR_O001,APRR_O010,57.79,6.3,10.0,14.8,20.4,3.7
APRR_O001,APRR_O011,86.09,8.7,13.6,22.0,29.5,5.5
APRR_O001,APRR_O013,115.49,11.4,18.1,27.7,38.2,6.9
APRR_O001,APRR_O014,212.61,19.5,30.8,48.1,66.4,11.5
APRR_O001,APRR_O015,197.99,19.5,30.3,47.6,66.3,11.4
APRR_O001,APRR_O016,188.59,19.1,29.7,46.4,64.4,11.2
APRR_O001,APRR_O017,38.19,4.1,6.2,9.0,12.6,2.2
APRR_O001,APRR_O018,220.29,19.7,31.8,47.8,66.5,11.9
APRR_O001,APRR_O019,42.2,4.7,7.0,10.8,14.7,2.5
APRR_O001,APRR_O020,21.77,2.7,4.4,6.7,8.9,1.4
APRR_O001,APRR_O022,310.49,28.4,42.0,72.3,99.6,16.9
APRR_O001,APRR_O024,120.49,11.7,18.5,27.8,37.6,6.9
APRR_O001,APRR_O027,320.64,28.5,42.4,73.9,102.3,17.3
APRR_O001,APRR_O028,424.4,39.0,62.1,96.3,132.4,23.7
APRR_O001,APRR_O029,267.77,25.8,36.7,65.1,89.0,15.5
APRR_O001,APRR_O030,139.38,14.5,22.7,34.9,48.1,8.6
APRR_O001,APRR_O032,349.34,32.3,47.0,81.4,112.9,19.0
APRR_O001,APRR_O034,344.72,32.8,51.5,78.8,108.0,19.8
APRR_O001,APRR_O036,183.29,16.0,26.8,41.2,56.4,10.4
APRR_O001,APRR_O037,181.9,17.5,24.6,44.9,61.9,10.6
APRR_O001,APRR_O038,179.79,17.4,26.2,42.9,58.1,10.5
APRR_O001,APRR_O039,155.99,14.5,22.7,34.9,48.6,8.6
APRR_O001,APRR_O042,67.11,6.6,10.5,16.6,23.1,4.1
APRR_O001,APRR_O043,411.15,40.9,63.4,99.6,134.1,24.7
APRR_O001,APRR_O045,385.72,35.5,56.1,87.0,120.3,21.9
APRR_O001,APRR_O047,407.13,36.5,57.7,90.1,124.4,22.3
APRR_O001,APRR_O050,172.57,16.3,25.1,39.0,54.9,9.4
APRR_O001,APRR_O052,50.98,6.4,10.3,16.4,22.8,3.9
APRR_O001,APRR_O053,362.95,33.1,48.6,83.6,115.1,19.8
APRR_O001,APRR_O054,327.79,29.3,45.3,73.2,100.7,17.9
APRR_O001,APRR_O055,248.99,23.4,37.0,57.5,79.7,13.8
APRR_O001,APRR_O056,49.84,5.7,7.9,13.5,18.9,3.3
APRR_O001,APRR_O057,28.31,3.3,4.8,7.4,10.4,1.5
APRR_O001,APRR_O058,34.27,3.8,6.0,8.8,12.4,1.9
APRR_O001,APRR_O059,36.38,4.7,7.4,11.8,16.3,2.8
APRR_O001,APRR_O060,254.44,23.4,34.5,60.1,83.0,14.1
APRR_O001,APRR_O061,234.79,22.2,32.2,55.8,76.8,13.2
APRR_O001,APRR_O062,70.95,7.3,11.1,17.2,23.9,4.3
APRR_O001,APRR_O064,448.0,40.3,63.3,99.9,137.3,24.6
APRR_O001,APRR_O065,69.84,6.6,10.5,16.6,23.1,4.1
APRR_O001,APRR_O066,74.69,6.8,11.6,17.1,23.4,4.4
APRR_O001,APRR_O068,318.61,29.6,44.0,75.0,102.9,18.3
APRR_O001,APRR_O069,399.61,36.5,57.7,90.1,124.4,22.3
APRR_O001,APRR_O071,274.54,24.7,36.3,65.4,89.3,15.0
APRR_O001,APRR_O075,382.77,35.5,56.1,87.0,120.3,21.9
APRR_O001,APRR_O076,265.49,23.9,38.1,59.0,80.9,14.6
APRR_O001,APRR_O077,165.79,15.0,24.2,37.1,50.9,9.2
APRR_O001,APRR_O078,17.46,1.9,3.1,4.4,6.3,0.9
APRR_O001,APRR_O079,7.36,0.9,1.3,2.0,3.1,0.4
APRR_O001,APRR_O080,191.19,17.3,27.0,41.6,57.2,10.6
APRR_O001,APRR_O082,63.84,6.6,10.5,16.6,23.1,4.1
APRR_O001,APRR_O084,296.5,25.2,38.6,69.0,94.2,15.8
APRR_O001,APRR_O085,53.81,5.2,7.7,12.2,17.0,3.2
APRR_O001,APRR_O086,288.99,28.4,44.0,69.9,95.9,16.8
APRR_O001,APRR_O087,344.84,32.8,49.2,83.3,116.1,19.9
APRR_O001,APRR_O088,166.89,15.6,24.4,38.2,53.5,9.1
APRR_O001,APRR_O089,158.19,15.6,24.4,38.3,53.0,9.6
APRR_O001,APRR_O091,31.09,4.1,6.4,10.0,14.0,2.2
APRR_O001,APRR_O092,369.72,33.9,54.0,83.6,115.1,19.9
APRR_O001,APRR_O093,431.66,39.0,62.1,96.3,132.4,23.7
APRR_O001,APRR_O094,40.66,5.2,8.1,13.2,18.3,3.0
APRR_O001,APRR_O095,348.76,33.2,49.0,83.8,117.1,19.8
APRR_O001,APRR_O096,204.74,19.5,27.7,48.7,67.5,11.4
APRR_O001,APRR_O097,360.92,33.4,49.3,83.3,116.3,19.9
APRR_O001,APRR_O098,100.19,9.4,15.1,22.4,31.1,5.7
APRR_O001,APRR_O099,394.6,35.6,56.1,87.3,121.1,21.9
APRR_O001,APRR_O101,74.16,7.6,12.2,19.6,26.8,4.9
APRR_O001,APRR_O103,290.94,27.5,40.2,69.0,95.3,16.4
APRR_O001,APRR_O107,356.71,32.3,51.0,80.1,109.6,19.5
APRR_O001,APRR_O108,32.17,3.9,6.2,8.8,12.4,1.9
APRR_O001,APRR_O109,387.96,34.9,52.1,88.2,121.8,20.9
APRR_O002,APRR_O001,101.49,10.5,16.4,25.9,34.9,6.4
APRR_O002,APRR_O003,242.5,22.6,35.6,56.7,77.2,13.4
APRR_O002,APRR_O004,230.8,22.6,35.6,56.7,77.2,13.4
APRR_O002,APRR_O005,186.7,17.4,27.0,43.7,59.2,10.1
APRR_O002,APRR_O006,125.52,11.5,18.4,29.4,39.3,7.0
APRR_O002,APRR_O007,130.2,10.5,16.1,25.2,37.7,6.6
APRR_O002,APRR_O008,95.05,8.6,13.6,23.5,31.3,5.2
APRR_O002,APRR_O009,93.9,8.6,13.6,23.5,31.3,5.2
APRR_O002,APRR_O010,43.7,3.9,5.8,9.0,12.2,2.0
APRR_O002,APRR_O011,15.4,1.4,2.2,3.3,4.8,0.7
APRR_O002,APRR_O013,14.21,1.3,2.1,3.2,4.5,0.8
APRR_O002,APRR_O014,111.12,8.8,13.3,21.0,32.1,6.0
APRR_O002,APRR_O015,96.5,7.7,12.2,20.1,27.9,5.0
APRR_O002,APRR_O016,87.1,7.1,11.4,18.3,25.2,4.7
APRR_O002,APRR_O017,139.68,14.4,22.7,35.7,48.6,8.5
APRR_O002,APRR_O018,160.8,14.3,22.9,37.1,50.4,8.5
APRR_O002,APRR_O019,73.71,7.4,11.8,19.1,25.4,4.6
APRR_O002,APRR_O020,79.72,7.7,12.3,20.3,26.7,4.8
APRR_O002,APRR_O022,209.0,18.7,29.7,47.2,63.7,10.9
APRR_O002,APRR_O023,113.12,11.1,17.8,28.6,38.3,6.6
APRR_O002,APRR_O024,122.2,11.1,17.8,28.6,38.3,6.6
APRR_O002,APRR_O027,219.15,18.8,30.1,48.7,66.4,11.2
APRR_O002,APRR_O028,360.35,31.1,49.5,80.5,110.5,18.8
APRR_O002,APRR_O029,166.28,15.9,25.0,41.0,56.2,9.4
APRR_O002,APRR_O030,37.89,3.6,5.5,8.7,11.8,2.0
APRR_O002,APRR_O032,247.85,21.2,35.1,56.3,76.9,13.0
APRR_O002,APRR_O034,285.23,27.4,42.9,67.5,91.8,16.1
APRR_O002,APRR_O037,80.41,7.7,12.6,20.7,28.0,4.7
APRR_O002,APRR_O038,78.3,7.3,11.2,17.4,23.7,4.3
APRR_O002,APRR_O039,54.5,3.9,6.0,8.8,11.9,2.3
APRR_O002,APRR_O042,98.62,9.4,14.7,23.6,31.6,5.7
APRR_O002,APRR_O043,351.66,35.1,55.5,86.9,120.0,20.9
APRR_O002,APRR_O045,326.23,30.0,47.3,76.2,104.3,18.0
APRR_O002,APRR_O047,343.08,29.5,46.9,76.2,104.2,17.7
APRR_O002,APRR_O050,71.08,5.9,8.5,13.1,19.8,3.3
APRR_O002,APRR_O052,130.75,14.1,22.7,36.3,49.0,8.5
APRR_O002,APRR_O053,261.46,23.0,36.9,58.4,80.1,13.5
APRR_O002,APRR_O054,268.3,23.8,37.5,61.9,84.5,14.2
APRR_O002,APRR_O055,147.5,12.3,18.7,29.3,42.8,7.3
APRR_O002,APRR_O056,151.33,16.0,25.1,40.0,54.5,9.4
APRR_O002,APRR_O057,129.8,13.2,20.6,34.0,45.3,8.1
APRR_O002,APRR_O058,135.76,13.7,21.8,35.2,46.9,8.4
APRR_O002,APRR_O059,116.15,12.5,20.0,32.4,43.6,7.5
APRR_O002,APRR_O060,152.95,13.7,22.8,36.5,49.4,8.1
APRR_O002,APRR_O061,133.3,12.4,20.0,32.5,44.0,7.3
APRR_O002,APRR_O062,30.54,2.8,4.2,6.7,8.5,1.4
APRR_O002,APRR_O064,383.95,34.0,53.9,86.3,118.7,20.7
APRR_O002,APRR_O065,101.35,9.4,14.7,23.6,31.6,5.7
APRR_O002,APRR_O066,106.2,9.5,15.6,24.4,33.1,6.1
APRR_O002,APRR_O068,217.12,20.2,32.2,51.3,70.4,12.0
APRR_O002,APRR_O069,335.56,29.5,46.9,76.2,104.2,17.7
APRR_O002,APRR_O071,173.05,15.2,24.3,39.7,53.7,8.9
APRR_O002,APRR_O075,323.28,30.0,47.3,76.2,104.3,18.0
APRR_O002,APRR_O076,206.0,18.8,29.0,47.8,65.1,11.1
APRR_O002,APRR_O077,95.95,8.2,13.1,22.0,30.3,5.1
APRR_O002,APRR_O078,118.95,11.5,18.4,29.4,39.3,7.0
APRR_O002,APRR_O079,94.13,9.4,15.0,24.1,32.1,5.7
APRR_O002,APRR_O080,131.7,11.8,18.1,30.2,40.7,6.9
APRR_O002,APRR_O082,95.35,9.4,14.7,23.6,31.6,5.7
APRR_O002,APRR_O084,195.01,17.0,26.6,43.5,59.2,9.8
APRR_O002,APRR_O085,85.32,7.9,12.3,20.7,26.4,4.9
APRR_O002,APRR_O086,187.5,16.9,25.7,42.1,56.9,10.0
